iter	Passed	Remaining
130	209874	1392220
131	212777	1399170
132	214624	1399092
133	217046	1402702
134	219060	1403610
135	220588	1401388
136	221879	1397677
137	223172	1394021
138	224588	1391158
139	226046	1388570
140	227315	1384849
141	228617	1381363
142	230003	1378414
143	231326	1375106
144	232687	1372052
145	234079	1369205
146	235408	1366009
147	236790	1363146
148	238348	1361307
149	239694	1358266
150	241069	1355417
151	242372	1352184
152	243708	1349157
153	245088	1346396
154	246421	1343392
155	247896	1341184
156	249333	1338776
157	250514	1335021
158	251823	1331973
159	253144	1329010
160	254392	1325685
161	255854	1323494
162	257290	1321179
163	258510	1317773
164	259999	1315754
165	261321	1312903
166	262580	1309757
167	263863	1306750
168	265184	1303952
169	266747	1302354
170	267994	1299223
171	269342	1296603
172	270620	1293660
173	271851	1290513
174	273437	1289060
175	274755	1286355
176	276035	1283488
177	277483	1281410
178	278646	1278036
179	280033	1275707
180	281363	1273132
181	282644	1270346
182	283904	1267485
183	285268	1265105
184	286476	1262047
185	287758	1259331
186	288976	1256351
187	290276	1253747
188	291523	1250929
189	293538	1251402
190	295110	1249969
191	296430	1247479
192	298232	1247012
193	299427	1244012
194	300817	1241836
195	302033	1238952
196	303386	1236648
197	304633	1233921
198	306015	1231749
199	307219	1228878
200	308411	1225975
201	309738	1223620
202	311166	1221674
203	312413	1219026
204	313619	1216233
205	314761	1213206
206	315997	1210561
207	317156	1207636
208	318301	1204670
209	319499	1201927
210	320781	1199511
211	321933	1196619
212	323102	1193810
213	324310	1191157
214	325569	1188708
215	326769	1186051
216	328013	1183568
217	329363	1181478
218	330722	1179427
219	332070	1177341
220	333533	1175667
221	335388	1175368
222	336924	1173946
223	338331	1172076
224	339668	1169967
225	340916	1167562
226	342192	1165263
227	343464	1162959
228	344840	1161012
229	346114	1158730
230	347363	1156375
231	349053	1155486
232	350438	1153587
233	351695	1151276
234	353020	1149194
235	354383	1147242
236	355547	1144651
237	356755	1142218
238	357921	1139656
239	359207	1137489
240	360514	1135395
241	361753	1133095
242	363003	1130839
243	364409	1129071
244	365699	1126950
245	367095	1125163
246	368462	1123288
247	369744	1121160
248	371097	1119252
249	372490	1117470
250	373856	1115612
251	375110	1113423
252	376409	1111375
253	377655	1109176
254	378887	1106946
255	380194	1104939
256	381413	1102685
257	382668	1100542
258	384047	1098760
259	385263	1096517
260	387513	1097211
261	389648	1097558
262	391663	1097552
263	394036	1098525
264	397385	1102181
265	400179	1104255
266	403012	1106398
267	405324	1107080
268	407337	1106927
269	409236	1106454
270	411427	1106754
271	415997	1113404
272	418673	1114929
273	420848	1115095
274	422869	1114838
275	424850	1114462
276	426784	1113954
277	428813	1113681
278	430720	1113081
279	432678	1112600
280	434483	1111721
281	436792	1112117
282	439325	1113061
283	441597	1113322
284	445402	1117413
285	447613	1117469
286	449412	1116484
287	451239	1115565
288	453187	1114934
289	455073	1114146
290	456893	1113187
291	458728	1112260
292	460603	1111422
293	462397	1110384
294	464229	1109430
295	466033	1108403
296	467806	1107299
297	469560	1106144
298	471359	1105094
299	473168	1104059
300	475003	1103081
301	476931	1102311
302	478980	1101812
303	481049	1101350
304	483034	1100685
305	484819	1099557
306	486689	1098618
307	488510	1097561
308	490275	1096375
309	492188	1095517
310	494015	1094458
311	495994	1093731
312	497753	1092514
313	499667	1091629
314	501733	1091070
315	503775	1090451
316	505876	1089948
317	507728	1088901
318	510168	1089106
319	512118	1088251
320	514451	1088201
321	516248	1087007
322	518147	1086023
323	520412	1085798
324	522505	1085203
325	524804	1085025
326	527189	1085010
327	530896	1087689
328	533820	1088733
329	538168	1092645
330	544778	1101078
331	550417	1107466
332	553722	1109107
333	556291	1109252
334	558755	1109171
335	560882	1108410
336	564086	1109760
337	567546	1111585
338	569587	1110611
339	571747	1109862
340	574536	1110321
341	576457	1109090
342	578265	1107639
343	580122	1106280
344	582810	1106496
345	586147	1107920
346	588667	1107781
347	591366	1107963
348	595312	1110454
349	597661	1109941
350	599509	1108494
351	601392	1107108
352	603275	1105720
353	605449	1104860
354	608529	1105638
355	610895	1105102
356	612818	1103760
357	614689	1102321
358	616579	1100911
359	619709	1101705
360	622785	1102382
361	626232	1103690
362	629462	1104593
363	631688	1103720
364	633578	1102253
365	635637	1101076
366	637499	1099556
367	639351	1098016
368	642103	1098013
369	644494	1097381
370	646250	1095664
371	648343	1094514
372	651003	1094314
373	654112	1094852
374	657254	1095423
375	659699	1094820
376	662181	1094268
377	664712	1093786
378	667898	1094366
379	671134	1095009
380	674209	1095369
381	677288	1095717
382	680599	1096422
383	683302	1096130
384	686132	1096030
385	689367	1096557
386	692053	1096198
387	694951	1096160
388	698587	1097266
389	702013	1098021
390	705016	1098094
391	707810	1097828
392	710683	1097671
393	713504	1097420
394	716226	1097005
395	718912	1096523
396	721123	1095309
397	724921	1096490
398	728281	1096984
399	731909	1097863
400	734634	1097372
401	737883	1097647
402	740711	1097281
403	744114	1097753
404	748309	1099368
405	752173	1100469
406	755696	1101050
407	759456	1101955
408	762154	1101304
409	764954	1100788
410	767202	1099469
411	769996	1098927
412	772293	1097666
413	775009	1096994
414	777442	1095912
415	779990	1094986
416	783039	1094752
417	785280	1093381
418	788066	1092760
419	790829	1092097
420	793260	1090968
421	795901	1090121
422	798424	1089104
423	800990	1088138
424	803591	1087212
425	806174	1086254
426	808734	1085257
427	811197	1084124
428	814006	1083444
429	816527	1082373
430	819066	1081320
431	821686	1080365
432	824260	1079343
433	826892	1078390
434	829579	1077499
435	831526	1075644
436	833292	1073555
437	835080	1071496
438	836849	1069413
439	838699	1067435
440	841178	1066255
441	843177	1064464
442	844987	1062433
443	846814	1060425
444	848675	1058460
445	850520	1056475
446	852287	1054395
447	854226	1052529
448	856554	1051138
449	860183	1051335
450	862380	1049771
451	864338	1047915
452	866392	1046173
453	868370	1044339
454	870809	1043057
455	873053	1041537
456	875181	1039876
457	877834	1038834
458	880737	1038080
459	882910	1036460
460	884896	1034618
461	886899	1032796
462	888759	1030807
463	890547	1028735
464	892358	1026692
465	895252	1025890
466	897192	1023990
467	899024	1021968
468	900874	1019966
469	902807	1018059
470	905959	1017520
471	908626	1016429
472	911599	1015672
473	914282	1014583
474	916261	1012709
475	918764	1011412
476	921067	1009891
477	923062	1008030
478	925100	1006215
479	927074	1004330
480	929130	1002534
481	931955	1001562
482	933628	999349
483	935180	997010
484	936617	994553
485	938181	992232
486	939553	989714
487	940885	987158
488	942247	984638
489	943575	982088
490	944830	979468
491	946272	977045
492	948211	975138
493	949945	973021
494	951321	970540
495	952727	968094
496	954155	965674
497	955498	963173
498	956811	960646
499	958254	958254
500	959522	955691
501	960790	953134
502	962538	951057
503	964412	949103
504	966187	947055
505	967614	944667
506	969266	942501
507	970487	939921
508	971927	937556
509	973513	935336
510	974818	932849
511	976255	930493
512	977658	928108
513	979664	926297
514	982088	924879
515	985069	923980
516	987298	922370
517	989647	920869
518	991832	919213
519	994027	917563
520	996230	915920
521	998416	914259
522	1000732	912713
523	1002799	910940
524	1005273	909533
525	1007537	907933
526	1009961	906473
527	1012147	904798
528	1014540	903305
529	1016920	901797
530	1020014	900916
531	1022516	899506
532	1024915	898003
533	1027362	896537
534	1030012	895244
535	1032402	893721
536	1034891	892280
537	1037257	890730
538	1039624	889177
539	1041930	887570
540	1044120	885861
541	1046487	884300
542	1048282	882256
543	1049566	879783
544	1050811	877282
545	1052050	874781
546	1053504	872463
547	1054713	869945
548	1055913	867425
549	1057208	864988
550	1058539	862584
551	1059827	860149
552	1061132	857732
553	1062444	855325
554	1063650	852836
555	1065087	850537
556	1066369	848118
557	1067722	845758
558	1068953	843306
559	1070229	840894
560	1071438	838434
561	1072653	835982
562	1073898	833559
563	1075133	831131
564	1076369	828709
565	1077602	826289
566	1078848	823882
567	1080091	821477
568	1081351	819090
569	1082679	816758
570	1083978	814407
571	1085246	812037
572	1086529	809682
573	1087803	807324
574	1089105	804991
575	1090350	802618
576	1091589	800246
577	1092859	797901
578	1094060	795508
579	1095318	793161
580	1096586	790825
581	1097862	788499
582	1099103	786151
583	1100317	783787
584	1101573	781458
585	1102851	779147
586	1104123	776836
587	1105465	774577
588	1106883	772375
589	1108194	770101
590	1109626	767913
591	1111103	765760
592	1112382	763473
593	1113698	761214
594	1114936	758906
595	1116226	756636
596	1117494	754355
597	1118806	752107
598	1120063	749825
599	1121362	747575
600	1122614	745296
601	1123868	743022
602	1125162	740778
603	1126505	738569
604	1127808	736337
605	1129616	734436
606	1131071	732308
607	1132731	730313
608	1134304	728264
609	1135624	726055
610	1136943	723848
611	1138473	721777
612	1140172	719815
613	1141380	717545
614	1142655	715320
615	1144002	713144
616	1145174	710861
617	1146690	708795
618	1147949	706572
619	1149266	704389
620	1150574	702202
621	1151804	699971
622	1152978	697709
623	1154159	695454
624	1155356	693214
625	1156649	691033
626	1157991	688884
627	1159323	686732
628	1160501	684492
629	1161765	682306
630	1163105	680167
631	1164675	678165
632	1166528	676328
633	1168144	674354
634	1169609	672295
635	1171303	670368
636	1172921	668399
637	1174543	666433
638	1176357	664577
639	1177962	662604
640	1179277	660469
641	1180513	658292
642	1181738	656113
643	1182905	653904
644	1184523	651946
645	1185860	649837
646	1187143	647699
647	1188452	645579
648	1189872	643521
649	1191056	641338
650	1192366	639225
651	1193594	637072
652	1194944	634986
653	1196168	632835
654	1197509	630749
655	1198814	628646
656	1200128	626550
657	1201396	624434
658	1202997	622491
659	1204363	620429
660	1205787	618399
661	1207320	616426
662	1208661	614357
663	1209891	612234
664	1211117	610111
665	1212358	607999
666	1213574	605877
667	1214797	603761
668	1216040	601658
669	1217398	599614
670	1218671	597530
671	1219970	595461
672	1221245	593383
673	1222495	591295
674	1223727	589202
675	1224933	587098
676	1226152	585003
677	1227455	582950
678	1228858	580947
679	1230066	578854
680	1231253	576754
681	1232449	574661
682	1233679	572586
683	1234974	570543
684	1236270	568504
685	1237508	566439
686	1238714	564363
687	1239909	562284
688	1241275	560285
689	1242533	558239
690	1244029	556302
691	1245741	554463
692	1246966	552407
693	1248265	550387
694	1249663	548413
695	1251062	546441
696	1252543	544506
697	1253887	542512
698	1255199	540508
699	1256381	538449
700	1257649	536429
701	1258857	534386
702	1260100	532361
703	1261309	530323
704	1262496	528278
705	1263664	526228
706	1264835	524182
707	1266027	522147
708	1267286	520141
709	1268485	518113
710	1269927	516187
711	1271257	514216
712	1272596	512251
713	1273904	510275
714	1275140	508272
715	1276407	506284
716	1277591	504265
717	1278924	502307
718	1280110	500293
719	1281342	498299
720	1282582	496311
721	1283798	494315
722	1284997	492315
723	1286251	490339
724	1287444	488340
725	1288775	486397
726	1290054	484435
727	1291345	482480
728	1292573	480504
729	1294137	478653
730	1295566	476754
731	1297142	474910
732	1299908	473500
733	1302271	471940
734	1303627	470015
735	1305036	468110
736	1306277	466148
737	1307606	464217
738	1308813	462246
739	1310015	460275
740	1311214	458305
741	1312453	456351
742	1313633	454379
743	1314929	452448
744	1316423	450587
745	1317909	448725
746	1319672	446957
747	1321165	445098
748	1322618	443227
749	1323919	441306
750	1325234	439391
751	1326563	437483
752	1327756	435532
753	1328957	433585
754	1330175	431646
755	1331354	429696
756	1332548	427753
757	1333725	425806
758	1335060	423912
759	1336366	422010
760	1337709	420121
761	1339311	418315
762	1340668	416432
763	1342155	414592
764	1343497	412708
765	1345202	410936
766	1346663	409090
767	1348266	407288
768	1349791	405464
769	1351206	403607
770	1352572	401736
771	1354314	399979
772	1355656	398103
773	1357220	396294
774	1358657	394448
775	1359973	392569
776	1361400	390723
777	1362876	388892
778	1364339	387059
779	1365673	385190
780	1367029	383328
781	1368786	381579
782	1370163	379726
783	1371397	377833
784	1372618	375940
785	1373916	374068
786	1375239	372205
787	1376620	370359
788	1377931	368496
789	1379244	366634
790	1380541	364770
791	1381794	362895
792	1383150	361049
793	1384410	359179
794	1385646	357305
795	1386867	355428
796	1388139	353566
797	1389556	351742
798	1391046	349937
799	1392527	348131
800	1394064	346340
801	1395409	344502
802	1397294	342798
803	1398975	341043
804	1400783	339320
805	1402857	337660
806	1404776	335962
807	1406332	334177
808	1407636	332334
809	1408935	330491
810	1410192	328639
811	1411506	326802
812	1413097	325029
813	1414677	323255
814	1415976	321418
815	1417247	319575
816	1418625	317758
817	1419877	315914
818	1421518	314157
819	1422982	312362
820	1424400	310557
821	1425697	308727
822	1427101	306922
823	1428355	305085
824	1429721	303274
825	1431009	301447
826	1432294	299621
827	1433546	297789
828	1434913	295983
829	1436158	294152
830	1437469	292337
831	1438793	290525
832	1440208	288733
833	1441524	286922
834	1442881	285120
835	1444122	283296
836	1445436	281488
837	1446772	279686
838	1448045	277872
839	1449277	276052
840	1450549	274241
841	1451789	272426
842	1453100	270624
843	1454296	268803
844	1455576	266999
845	1456875	265199
846	1458146	263395
847	1459408	261592
848	1460702	259795
849	1461945	257990
850	1463190	256187
851	1464546	254404
852	1466392	252707
853	1468153	250995
854	1470001	249298
855	1471792	247591
856	1473931	245941
857	1476300	244329
858	1478185	242635
859	1479852	240906
860	1481360	239151
861	1483181	237446
862	1485613	235838
863	1486913	234051
864	1488177	232258
865	1489424	230465
866	1490627	228666
867	1491876	226875
868	1493114	225084
869	1494362	223295
870	1495677	221518
871	1496982	219740
872	1498193	217950
873	1499401	216160
874	1500768	214395
875	1502910	212740
876	1504926	211067
877	1506178	209286
878	1507361	207497
879	1508676	205728
880	1510528	204032
881	1512208	202313
882	1513508	200544
883	1516152	198952
884	1519344	197428
885	1521235	195734
886	1522846	194004
887	1524421	192269
888	1526003	190535
889	1527593	188803
890	1529188	187072
891	1530520	185309
892	1532108	183578
893	1533412	181813
894	1534788	180059
895	1536203	178309
896	1537473	176543
897	1538770	174782
898	1539979	173012
899	1541269	171252
900	1542465	169482
901	1543846	167734
902	1545041	165967
903	1546261	164204
904	1547649	162460
905	1549372	160751
906	1550616	158993
907	1551838	157234
908	1553191	155490
909	1554504	153742
910	1555716	151985
911	1556889	150226
912	1558074	148469
913	1559362	146723
914	1561065	145017
915	1562622	143297
916	1564117	141572
917	1565441	139832
918	1566698	138087
919	1568016	136349
920	1569357	134613
921	1570723	132881
922	1571985	131140
923	1573242	129400
924	1574722	127680
925	1575985	125942
926	1577271	124207
927	1578559	122474
928	1579781	120736
929	1580994	118999
930	1582263	117267
931	1583454	115531
932	1584846	113809
933	1586183	112085
934	1587539	110363
935	1588767	108633
936	1590210	106919
937	1591620	105203
938	1593055	103489
939	1594328	101765
940	1595733	100051
941	1597023	98330
942	1598260	96607
943	1599568	94889
944	1600880	93172
945	1602171	91455
946	1603381	89735
947	1604702	88021
948	1606166	86316
949	1608221	84643
950	1611302	83021
951	1614942	81425
952	1616771	79735
953	1619274	78078
954	1621180	76390
955	1624595	74772
956	1626576	73085
957	1629019	71418
958	1631113	69734
959	1633712	68071
960	1635856	66387
961	1637766	64693
962	1639625	62997
963	1642317	61331
964	1643904	59623
965	1645451	57914
966	1646829	56199
967	1648274	54488
968	1649784	52779
969	1651404	51074
970	1652925	49366
971	1654304	47654
972	1655728	45945
973	1657056	44233
974	1658288	42520
975	1659597	40809
976	1661042	39103
977	1662479	37397
978	1663993	35693
979	1665446	33988
980	1666791	32282
981	1668108	30576
982	1669331	28869
983	1670616	27164
984	1671839	25459
985	1673057	23755
986	1674315	22052
987	1675560	20350
988	1676818	18650
989	1678025	16949
990	1679323	15251
991	1680589	13553
992	1681812	11855
993	1683204	10160
994	1684597	8465
995	1686056	6771
996	1687972	5079
997	1689961	3386
998	1691851	1693
999	1693656	0
