iter	MultiClass
198	0.2985209319
199	0.2963670348
200	0.2942855989
201	0.2920470438
202	0.2900205863
203	0.2882149834
204	0.2864657592
205	0.2831819118
206	0.2811717034
207	0.2792451091
208	0.2772145606
209	0.2755878643
210	0.2735460865
211	0.2717547824
212	0.26991849
213	0.2678063618
214	0.2660264941
215	0.2643525649
216	0.2627499281
217	0.2605431301
218	0.2583323427
219	0.2566298055
220	0.2550288877
221	0.2533116319
222	0.2515325721
223	0.2499458612
224	0.2481345553
225	0.2459355679
226	0.2442780764
227	0.2428386736
228	0.2407981327
229	0.2380942362
230	0.2366011155
231	0.235017062
232	0.2336445035
233	0.2317618287
234	0.2297879647
235	0.2282066712
236	0.2263886966
237	0.2245830431
238	0.2229152446
239	0.2210660074
240	0.2193513251
241	0.2181016126
242	0.2167236815
243	0.2147708627
244	0.2135014076
245	0.2119279677
246	0.2098933576
247	0.2082438165
248	0.206693982
249	0.2049055632
250	0.2035638345
251	0.2020562766
252	0.2005940073
253	0.1993439017
254	0.1979187336
255	0.1962384018
256	0.1948974686
257	0.1929882576
258	0.1914521531
259	0.1902090021
260	0.1885681071
261	0.1870594596
262	0.1852898314
263	0.1841646079
264	0.1828454272
265	0.181635994
266	0.1804569974
267	0.1792979552
268	0.1778369952
269	0.176496414
270	0.175127733
271	0.173554822
272	0.1724042082
273	0.1711029897
274	0.1700240136
275	0.1689779325
276	0.1680012579
277	0.1668286878
278	0.1657599436
279	0.1647619173
280	0.1636641895
281	0.1625950469
282	0.1610629531
283	0.1599555689
284	0.1584457727
285	0.1572464259
286	0.1560311901
287	0.154701435
288	0.1535055593
289	0.1523872543
290	0.1510902905
291	0.1500835894
292	0.1489374864
293	0.1478282479
294	0.1467162282
295	0.1454644916
296	0.1445672104
297	0.143336897
298	0.1422236114
299	0.1413778474
300	0.1405275501
301	0.1395300466
302	0.1386691823
303	0.1377324557
304	0.1369245287
305	0.1358987482
306	0.1346818664
307	0.1337885343
308	0.1329487938
309	0.1320144778
310	0.1308845498
311	0.129797555
312	0.1286821448
313	0.1278021436
314	0.1270793412
315	0.1261447448
316	0.1253778095
317	0.1243313488
318	0.1234870022
319	0.1226616994
320	0.1217607479
321	0.1208002384
322	0.1199450192
323	0.1192764717
324	0.1187059844
325	0.1178994098
326	0.117188585
327	0.1160946003
328	0.1153196027
329	0.114435142
330	0.1137287963
331	0.112929549
332	0.1119835251
333	0.1113581467
334	0.1104893078
335	0.1094439984
336	0.1088162871
337	0.1080554601
338	0.107444326
339	0.1064778159
340	0.1056839298
341	0.1049032584
342	0.104344078
343	0.1036562378
344	0.1029050625
345	0.1021964849
346	0.1015478017
347	0.101012884
348	0.1001971235
349	0.09958921608
350	0.09888620164
351	0.09839472389
352	0.09783790086
353	0.0971267378
354	0.0966224201
355	0.09602966786
356	0.09541072231
357	0.09488284228
358	0.09421037365
359	0.09357414918
360	0.09279471689
361	0.09227034838
362	0.09171175464
363	0.09092733088
364	0.0903381103
365	0.08960784857
366	0.08896677323
367	0.08822782419
368	0.08775232176
369	0.08710088654
370	0.08665823041
371	0.08612758653
372	0.08560406808
373	0.08508513233
374	0.08461987107
375	0.08409542142
376	0.08348100414
377	0.08294087146
378	0.08242919286
379	0.08168375589
380	0.08098014472
381	0.08057052498
382	0.0800141013
383	0.07955024569
384	0.07887285767
385	0.07829563129
386	0.07780831809
387	0.07730653947
388	0.07681150083
389	0.07625613431
390	0.07559974003
391	0.07516384708
392	0.07458291231
393	0.0741656212
394	0.07354759216
395	0.07302819644
396	0.07239294187
397	0.07200303912
398	0.07160236291
399	0.0710317235
400	0.07066433824
401	0.07017333759
402	0.06969520495
403	0.06928781615
404	0.06873854269
405	0.06834006974
406	0.06792122471
407	0.06743466243
408	0.06704180337
409	0.06669086381
410	0.06634346086
411	0.06582063284
412	0.06549688033
413	0.06508834074
414	0.06461179474
415	0.06409549438
416	0.06370500445
417	0.06325501722
418	0.06285849209
419	0.06240632679
420	0.06201295465
421	0.0616610582
422	0.06126317669
423	0.0609737471
424	0.06053830689
425	0.06007700629
426	0.05957308187
427	0.0592218149
428	0.0589148842
429	0.05847261955
430	0.05814696127
431	0.05785123258
432	0.05744789391
433	0.05701171971
434	0.05659114412
435	0.05632186366
436	0.05596042126
437	0.05569263775
438	0.05526932455
439	0.05491794573
440	0.0546000431
441	0.05423669584
442	0.05398263023
443	0.05365806963
444	0.05340210577
445	0.05304654056
446	0.05273487653
447	0.05247263703
448	0.0521977673
449	0.05187407238
450	0.05158556011
451	0.05130102281
452	0.05089134983
453	0.0505686264
454	0.0502326304
455	0.04978509628
456	0.04940302877
457	0.04917294414
458	0.04886767642
459	0.04853897984
460	0.04815904743
461	0.04792176996
462	0.04763349768
463	0.04725478396
464	0.04701520629
465	0.04679499428
466	0.04647888258
467	0.04616538779
468	0.04594860166
469	0.0456733793
470	0.04537984564
471	0.04512339729
472	0.04475076842
473	0.04447173323
474	0.0442768414
475	0.04401013504
476	0.04376582974
477	0.04344031913
478	0.04314226001
479	0.04292790622
480	0.04264043413
481	0.0423608812
482	0.04205246287
483	0.04176423952
484	0.04151128982
485	0.04127419575
486	0.0410695752
487	0.04084028348
488	0.04063435218
489	0.04044642024
490	0.04024238434
491	0.03998930836
492	0.03979591377
493	0.03959113576
494	0.03933828938
495	0.03914345834
496	0.03894378064
497	0.03870612487
498	0.03841233823
499	0.03823364931
500	0.03799284869
501	0.03780734642
502	0.03757406017
503	0.03731918925
504	0.03711231159
505	0.03693682146
506	0.03665691069
507	0.03647156199
508	0.03629701397
509	0.03609779165
510	0.03588530343
511	0.03569239795
512	0.03550733269
513	0.03530996237
514	0.03511352321
515	0.03496371888
516	0.03472792026
517	0.0345583727
518	0.03431593123
519	0.03396764499
520	0.03378457817
521	0.03357462079
522	0.03342073198
523	0.03325959078
524	0.03310509847
525	0.03291450617
526	0.03273883698
527	0.03262006419
528	0.03240963635
529	0.0322416978
530	0.0320891529
531	0.03192359338
532	0.03168427795
533	0.03147611527
534	0.0313241651
535	0.03111937519
536	0.03096024476
537	0.03080273134
538	0.03063567506
539	0.03049875881
540	0.03034777588
541	0.03021704803
542	0.03007986919
543	0.02993222622
544	0.02978819263
545	0.02962550646
546	0.02942820872
547	0.02927770277
548	0.0290552773
549	0.02890350892
550	0.02877909274
551	0.02861051385
552	0.02843785816
553	0.0282855942
554	0.0281242701
555	0.027974504
556	0.02779696951
557	0.02769619897
558	0.02753932387
559	0.02741586926
560	0.02727097568
561	0.02714238611
562	0.02703333332
563	0.02692786885
564	0.02679812334
565	0.02664743229
566	0.02656728564
567	0.02644987037
568	0.02632213509
569	0.02620881715
570	0.02611124078
571	0.02595354285
572	0.02583357469
573	0.02570180204
574	0.02560823509
575	0.02546923344
576	0.02538101136
577	0.0252377814
578	0.0251239257
579	0.02493133199
580	0.02477651866
581	0.02468920015
582	0.02455082199
583	0.02445275041
584	0.02433439702
585	0.02418484783
586	0.02398680858
587	0.02383028094
588	0.02363896771
589	0.02351405712
590	0.0234266219
591	0.02331201034
592	0.02323221415
593	0.02313182536
594	0.02300897022
595	0.02291171539
596	0.02277835963
597	0.02271868225
598	0.02263176149
599	0.02252807176
600	0.02244924996
601	0.02236232184
602	0.02226263343
603	0.02209745058
604	0.0219916188
605	0.02180347
606	0.02166935025
607	0.02153495749
608	0.02145612943
609	0.02137469941
610	0.02128459535
611	0.02119045367
612	0.02110080016
613	0.02101193049
614	0.02093871265
615	0.02087134901
616	0.0207762343
617	0.02066759391
618	0.02057246562
619	0.02046685257
620	0.02029223531
621	0.02020163343
622	0.02011932159
623	0.02002966063
624	0.01994592346
625	0.01985389519
626	0.01976105731
627	0.01968980172
628	0.01959657012
629	0.01950526315
630	0.01941122873
631	0.01933161896
632	0.01927996282
633	0.0192128757
634	0.01912639597
635	0.01900093523
636	0.01890221732
637	0.01880212106
638	0.0187260569
639	0.01865364241
640	0.01855928468
641	0.01840481726
642	0.01832776266
643	0.01826328191
